Authors,Titles,Profiles,Publications,Year of Publication
,Cooking fuels and risk of all-cause and cardiopulmonary mortality in urban China: a prospective cohort study,,https://pureportal.coventry.ac.uk/en/publications/cooking-fuels-and-risk-of-all-cause-and-cardiopulmonary-mortality,Mar 2020
"Zheng, D.",Cortical Characterization of Reverberation Time in Reverberant Speech,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2,https://pureportal.coventry.ac.uk/en/publications/cortical-characterization-of-reverberation-time-in-reverberant-sp,27 Aug 2020
"Tapp, R. J.",Cost-effectiveness of a lifestyle intervention in high-risk individuals for diabetes in a low- and middle-income setting: Trial-based analysis of the Kerala Diabetes Prevention Program,https://pureportal.coventry.ac.uk/en/persons/robyn-tapp,https://pureportal.coventry.ac.uk/en/publications/cost-effectiveness-of-a-lifestyle-intervention-in-high-risk-indiv,4 Sep 2020
"Henry, N.,Tomlins, R.",Coventry UK City of Culture 2021 Performance Measurement and Evaluation Progress Report Three July 2020 – September 2020,"https://pureportal.coventry.ac.uk/en/persons/nick-henry,https://pureportal.coventry.ac.uk/en/persons/richard-tomlins",https://pureportal.coventry.ac.uk/en/publications/coventry-uk-city-of-culture-2021-performance-measurement-and-eval-3,1 Nov 2020
"Liu, H.,Zheng, D.",Cuffless Blood Pressure Estimation Using Single Channel Photoplethysmography: A Two-Step Method,"https://pureportal.coventry.ac.uk/en/persons/haipeng-liu,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2",https://pureportal.coventry.ac.uk/en/publications/cuffless-blood-pressure-estimation-using-single-channel-photoplet,2020
"Zheng, D.,Allen, J.",Cuffless Single-Site Photoplethysmography for Blood Pressure Monitoring,"https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2,https://pureportal.coventry.ac.uk/en/persons/john-allen",https://pureportal.coventry.ac.uk/en/publications/cuffless-single-site-photoplethysmography-for-blood-pressure-moni,7 Mar 2020
"Liu, H.,Xu, Y.,Zheng, D.",Dataset on Blood Flow and Instantaneous Wave-free Ratio in Normal and Stenosed Coronary Arteries,"https://pureportal.coventry.ac.uk/en/persons/haipeng-liu,https://pureportal.coventry.ac.uk/en/persons/yuhang-xu,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2",https://pureportal.coventry.ac.uk/en/publications/dataset-on-blood-flow-and-instantaneous-wave-free-ratio-in-normal,Oct 2020
,Developing Indonesia’s Universal Health Coverage System,,https://pureportal.coventry.ac.uk/en/publications/developing-indonesias-universal-health-coverage-system,6 Nov 2020
"Clark, C.,Holliday, N.",Developing open technology solutions in a simulated living lab environment: research in progress amidst the Covid-19 pandemic,"https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/persons/nikki-holliday",https://pureportal.coventry.ac.uk/en/publications/developing-open-technology-solutions-in-a-simulated-living-lab-en,15 Sep 2020
,Digital eye syndrome : COVID-19,,https://pureportal.coventry.ac.uk/en/publications/digital-eye-syndrome-covid-19,2020
"Tapp, R. J.",Effect of a Peer-led Lifestyle Intervention on Individuals With Normal Weight Obesity: Insights From the Kerala Diabetes Prevention Program,https://pureportal.coventry.ac.uk/en/persons/robyn-tapp,https://pureportal.coventry.ac.uk/en/publications/effect-of-a-peer-led-lifestyle-intervention-on-individuals-with-n,25 Jul 2020
"Lycett, D.","Effect of Dietary Potassium Restriction on Serum Potassium, Disease Progression, and Mortality in Chronic Kidney Disease: A Systematic Review and Meta-Analysis",https://pureportal.coventry.ac.uk/en/persons/deborah-lycett,https://pureportal.coventry.ac.uk/en/publications/effect-of-dietary-potassium-restriction-on-serum-potassium-diseas,1 Jul 2020
"Liu, H.,Xu, Y.,Zheng, D.",Effect of microcirculatory resistance on coronary blood flow and instantaneous wave-free ratio: A computational study,"https://pureportal.coventry.ac.uk/en/persons/haipeng-liu,https://pureportal.coventry.ac.uk/en/persons/yuhang-xu,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2",https://pureportal.coventry.ac.uk/en/publications/effect-of-microcirculatory-resistance-on-coronary-blood-flow-and-,1 Nov 2020
"Zheng, D.",Effect of temporal misalignment on understanding Mandarin sentences in simulated combined electric-and-acoustic stimulation,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2,https://pureportal.coventry.ac.uk/en/publications/effect-of-temporal-misalignment-on-understanding-mandarin-sentenc,Dec 2020
"C.T. Clark, C.",Effects of walnut intake on anthropometric characteristics: A systematic review and dose-response meta-analysis of randomized controlled trials,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/effects-of-walnut-intake-on-anthropometric-characteristics-a-syst,May 2020
"Zheng, D.",Evaluation of electrohysterogram measured from different gestational weeks for recognizing preterm delivery: a preliminary study using random Forest,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-electrohysterogram-measured-from-different-gestatio,2020
"O'Doherty, L.",Experiences of pregnancy and maternity care for women exposed to human trafficking and sexual exploitation: a systematic review and qualitative evidence synthesis,https://pureportal.coventry.ac.uk/en/persons/lorna-odoherty,https://pureportal.coventry.ac.uk/en/publications/experiences-of-pregnancy-and-maternity-care-for-women-exposed-to-,1 Dec 2020
"Lycett, D.",Experiences of the Dietary Management of Serum Potassium in Chronic Kidney Disease: Interviews With UK Adults on Maintenance Hemodialysis,https://pureportal.coventry.ac.uk/en/persons/deborah-lycett,https://pureportal.coventry.ac.uk/en/publications/experiences-of-the-dietary-management-of-serum-potassium-in-chron,Nov 2020
,Five insights from the Global Burden of Disease Study 2019,,https://pureportal.coventry.ac.uk/en/publications/five-insights-from-the-global-burden-of-disease-study-2019,17 Oct 2020
"Shah, S. A.",Flexible and scalable software defined radio based testbed for large scale body movement,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/flexible-and-scalable-software-defined-radio-based-testbed-for-la,20 Aug 2020
"Woodcock, A.,Magee, P.,Moody, L.","Fostering Design Literacy, Empathy and Awareness in Codesign","https://pureportal.coventry.ac.uk/en/persons/andree-woodcock,https://pureportal.coventry.ac.uk/en/persons/paul-magee,https://pureportal.coventry.ac.uk/en/persons/louise-moody",https://pureportal.coventry.ac.uk/en/publications/fostering-design-literacy-empathy-and-awareness-in-codesign,2020
"Bul, K.,Holliday, N.,Magee, P.,Wark, P.",From development to exploitation of digital health solutions: Lessons learnt through multidisciplinary research and consultancy,"https://pureportal.coventry.ac.uk/en/persons/kim-bul,https://pureportal.coventry.ac.uk/en/persons/nikki-holliday,https://pureportal.coventry.ac.uk/en/persons/paul-magee,https://pureportal.coventry.ac.uk/en/persons/petra-wark",https://pureportal.coventry.ac.uk/en/publications/from-development-to-exploitation-of-digital-health-solutions-less,9 Dec 2020
,"Global burden of 369 diseases and injuries in 204 countries and territories, 1990–2019: a systematic analysis for the Global Burden of Disease Study 2019",,https://pureportal.coventry.ac.uk/en/publications/global-burden-of-369-diseases-and-injuries-in-204-countries-and-t,17 Oct 2020
,"Global burden of 87 risk factors in 204 countries and territories, 1990–2019: a systematic analysis for the Global Burden of Disease Study 2019",,https://pureportal.coventry.ac.uk/en/publications/global-burden-of-87-risk-factors-in-204-countries-and-territories,17 Oct 2020
,Globally altered sleep patterns and physical activity levels by confinement in 5056 individuals: ECLB COVID-19 international online survey,,https://pureportal.coventry.ac.uk/en/publications/globally-altered-sleep-patterns-and-physical-activity-levels-by-c,23 Dec 2020
,"Habitual snoring, adiposity measures and risk of type 2 diabetes in 0.5 million Chinese adults: a 10-year cohort",,https://pureportal.coventry.ac.uk/en/publications/habitual-snoring-adiposity-measures-and-risk-of-type-2-diabetes-i,27 Feb 2020
"Wright, H.,Moody, L.,Pearce, G.,Turner, A.",Help to Overcome Problems Effectively for Cancer Survivors: Development and Evaluation of a Digital Self-Management Program,"https://pureportal.coventry.ac.uk/en/persons/hayley-wright,https://pureportal.coventry.ac.uk/en/persons/louise-moody,https://pureportal.coventry.ac.uk/en/persons/gemma-pearce,https://pureportal.coventry.ac.uk/en/persons/andy-turner",https://pureportal.coventry.ac.uk/en/publications/help-to-overcome-problems-effectively-for-cancer-survivors-develo,19 May 2020
"Clark, C. C. T.",Impact of time-outs on efficiency of man-up in water polo: An analysis of the differences between the three levels of water polo players,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/impact-of-time-outs-on-efficiency-of-man-up-in-water-polo-an-anal,Oct 2020
"Clark, C. C. T.",Impaired Cardiorespiratory Fitness and Muscle Strength in Children with Normal-Weight Obesity,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/impaired-cardiorespiratory-fitness-and-muscle-strength-in-childre,9 Dec 2020
"Liu, H.,Zheng, D.",Influences of Sensor Placement Site and Subject Posture on Measurement of Respiratory Frequency Using Triaxial Accelerometers,"https://pureportal.coventry.ac.uk/en/persons/haipeng-liu,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2",https://pureportal.coventry.ac.uk/en/publications/influences-of-sensor-placement-site-and-subject-posture-on-measur,9 Jul 2020
,Mapping local patterns of childhood overweight and wasting in low- and middle-income countries between 2000 and 2017,,https://pureportal.coventry.ac.uk/en/publications/mapping-local-patterns-of-childhood-overweight-and-wasting-in-low,1 May 2020
,"Measuring universal health coverage based on an index of effective coverage of health services in 204 countries and territories, 1990-2019: a systematic analysis for the Global Burden of Disease Study 2019",,https://pureportal.coventry.ac.uk/en/publications/measuring-universal-health-coverage-based-on-an-index-of-effectiv,17 Oct 2020
"Liu, H.,Zheng, D.",Microaneurysms detection in color fundus images using machine learning based on directional local contrast,"https://pureportal.coventry.ac.uk/en/persons/haipeng-liu,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2",https://pureportal.coventry.ac.uk/en/publications/microaneurysms-detection-in-color-fundus-images-using-machine-lea,15 Apr 2020
"Zheng, D.,Allen, J.",Multimodal Photoplethysmography-Based Approaches for Improved Detection of Hypertension,"https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2,https://pureportal.coventry.ac.uk/en/persons/john-allen",https://pureportal.coventry.ac.uk/en/publications/multimodal-photoplethysmography-based-approaches-for-improved-det,22 Apr 2020
"Magee, P.",MyHealth - Developing accessible health materials with men with intellectual disability: A co-created Proof of Concept,https://pureportal.coventry.ac.uk/en/persons/paul-magee,https://pureportal.coventry.ac.uk/en/publications/myhealth-developing-accessible-health-materials-with-men-with-int,2020
,Novel Digital Architecture of a “Low Carb Program” for Initiating and Maintaining Long-Term Sustainable Health-Promoting Behavior Change in Patients with Type 2 Diabetes,,https://pureportal.coventry.ac.uk/en/publications/novel-digital-architecture-of-a-low-carb-program-for-initiating-a,4 Mar 2020
"Kurmi, O.",Occupational exposures and exacerbations of asthma and COPD-A general population study,https://pureportal.coventry.ac.uk/en/persons/om-kurmi,https://pureportal.coventry.ac.uk/en/publications/occupational-exposures-and-exacerbations-of-asthma-and-copd-a-gen,28 Dec 2020
"Clark, C.",Pistachios and cardiometabolic risk factors: a systematic review and meta-analysis of randomized controlled clinical trials,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/pistachios-and-cardiometabolic-risk-factors-a-systematic-review-a,Aug 2020
"Allen, J.",PPGSynth: An innovative toolbox for synthesizing regular and irregular photoplethysmography waveforms,https://pureportal.coventry.ac.uk/en/persons/john-allen,https://pureportal.coventry.ac.uk/en/publications/ppgsynth-an-innovative-toolbox-for-synthesizing-regular-and-irreg,2 Nov 2020
,"Pregnancy, pregnancy loss and the risk of diabetes in Chinese women: findings from the China Kadoorie Biobank",,https://pureportal.coventry.ac.uk/en/publications/pregnancy-pregnancy-loss-and-the-risk-of-diabetes-in-chinese-wome,1 Mar 2020
"Clark, C.",Preoperative antiviral therapy and microvascular invasion in hepatitis B virus-related hepatocellular carcinoma: A Meta-Analysis,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/preoperative-antiviral-therapy-and-microvascular-invasion-in-hepa,15 Sep 2020
"Tapp, R. J.",Prevalence of normal weight obesity and its associated cardio-metabolic risk factors - Results from the baseline data of the Kerala Diabetes Prevention Program (KDPP),https://pureportal.coventry.ac.uk/en/persons/robyn-tapp,https://pureportal.coventry.ac.uk/en/publications/prevalence-of-normal-weight-obesity-and-its-associated-cardio-met,25 Aug 2020
"McGregor, G.,Holliday, N.,Pearce, G.",Protocol for a randomised controlled feasibility trial of exercise rehabilitation for people with postural tachycardia syndrome: the PULSE study,"https://pureportal.coventry.ac.uk/en/persons/gordon-mcgregor,https://pureportal.coventry.ac.uk/en/persons/nikki-holliday,https://pureportal.coventry.ac.uk/en/persons/gemma-pearce",https://pureportal.coventry.ac.uk/en/publications/protocol-for-a-randomised-controlled-feasibility-trial-of-exercis,19 Oct 2020
"O'Doherty, L.",Psychological therapies for women who experience intimate partner violence,https://pureportal.coventry.ac.uk/en/persons/lorna-odoherty,https://pureportal.coventry.ac.uk/en/publications/psychological-therapies-for-women-who-experience-intimate-partner-2,1 Jul 2020
,"Publisher Correction: Systemic inflammation is associated with incident stroke and heart disease in East Asians (Scientific Reports, (2020), 10, 1, (5605), 10.1038/s41598-020-62391-3)",,https://pureportal.coventry.ac.uk/en/publications/publisher-correction-systemic-inflammation-is-associated-with-inc,1 Dec 2020
"Clark, C.",Quercetin as an Anticancer Agent: Focus on Esophageal Cancer,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/quercetin-as-an-anticancer-agent-focus-on-esophageal-cancer,1 Sep 2020
"Szczepura, A.,Holliday, N.,Oxford, S.",Raising the Digital Profile of Facial Palsy: National Surveys of Patients' and Clinicians' Experiences of Changing UK Treatment Pathways and Views on the Future Role of Digital Technology,"https://pureportal.coventry.ac.uk/en/persons/ala-szczepura,https://pureportal.coventry.ac.uk/en/persons/nikki-holliday,https://pureportal.coventry.ac.uk/en/persons/sam-oxford",https://pureportal.coventry.ac.uk/en/publications/raising-the-digital-profile-of-facial-palsy-national-surveys-of-p,5 Oct 2020
"Lycett, D.",Referral to Slimming World in UK Stop Smoking Services (SWISSS) versus stop smoking support alone on body weight in quitters: results of a randomised controlled trial,https://pureportal.coventry.ac.uk/en/persons/deborah-lycett,https://pureportal.coventry.ac.uk/en/publications/referral-to-slimming-world-in-uk-stop-smoking-services-swisss-ver,26 Jan 2020
"Liu, H.",Regional High Wall Shear Stress Associated With Stenosis Regression in Symptomatic Intracranial Atherosclerotic Disease,https://pureportal.coventry.ac.uk/en/persons/haipeng-liu,https://pureportal.coventry.ac.uk/en/publications/regional-high-wall-shear-stress-associated-with-stenosis-regressi,1 Oct 2020
"Clark, C.",Relationship between Fundamental Movement Skills and Physical Activity in Preschool-aged Children: A Systematic Review,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/relationship-between-fundamental-movement-skills-and-physical-act,19 May 2020
"Shah, S.",Revolutionizing Future Healthcare using Wireless on the Walls (WoW),https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/revolutionizing-future-healthcare-using-wireless-on-the-walls-wow,11 Jun 2020
"O'Doherty, L.",Self-efficacy and doctor support as mediators of depression outcomes following counselling by family doctors for intimate partner violence,https://pureportal.coventry.ac.uk/en/persons/lorna-odoherty,https://pureportal.coventry.ac.uk/en/publications/self-efficacy-and-doctor-support-as-mediators-of-depression-outco,Apr 2020
"Shah, S.",Sensor fusion for identification of freezing of gait episodes using Wi-Fi and radar imaging,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/sensor-fusion-for-identification-of-freezing-of-gait-episodes-usi,1 Dec 2020
"Liu, H.,Xu, Y.,Zheng, D.",Significance of considering respiratory movement in estimating sleep stage,"https://pureportal.coventry.ac.uk/en/persons/haipeng-liu,https://pureportal.coventry.ac.uk/en/persons/yuhang-xu,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2",https://pureportal.coventry.ac.uk/en/publications/significance-of-considering-respiratory-movement-in-estimating-sl,18 Mar 2020
"Shah, S.",Software Defined Radio Based Testbed for Large Scale Body Movements,https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah,https://pureportal.coventry.ac.uk/en/publications/software-defined-radio-based-testbed-for-large-scale-body-movemen,17 Aug 2020
,"Soy intake and breast cancer risk: a prospective study of 300,000 Chinese women and a dose–response meta-analysis",,https://pureportal.coventry.ac.uk/en/publications/soy-intake-and-breast-cancer-risk-a-prospective-study-of-300000-c,Jun 2020
"Liu, H.,Zheng, D.",State-of-the-Art Computational Models of Circle of Willis With Physiological Applications: A Review,"https://pureportal.coventry.ac.uk/en/persons/haipeng-liu,https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2",https://pureportal.coventry.ac.uk/en/publications/state-of-the-art-computational-models-of-circle-of-willis-with-ph,7 Jul 2020
"Khasteganan, N.,Carter, G.,O'Doherty, L.","Survivor, family and professional experiences of psychosocial interventions for sexual abuse and violence: a qualitative evidence synthesis (protocol)","https://pureportal.coventry.ac.uk/en/persons/nazanin-khasteganan,https://pureportal.coventry.ac.uk/en/persons/grace-carter,https://pureportal.coventry.ac.uk/en/persons/lorna-odoherty",https://pureportal.coventry.ac.uk/en/publications/survivor-family-and-professional-experiences-of-psychosocial-inte,22 Jun 2020
,Systemic inflammation is associated with incident stroke and heart disease in East Asians,,https://pureportal.coventry.ac.uk/en/publications/systemic-inflammation-is-associated-with-incident-stroke-and-hear,1 Dec 2020
"Clark, C. C. T.",The association between animal flesh foods consumption and semen parameters among infertile Iranian men: a cross-sectional study,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-association-between-animal-flesh-foods-consumption-and-semen-,6 Oct 2020
"Clark, C. C. T.",The association between dietary acid load and muscle strength among Iranian adults,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-association-between-dietary-acid-load-and-muscle-strength-amo,9 Oct 2020
"Clark, C.",The association between dietary antioxidant quality score and cardiorespiratory fitness in Iranian adults: a cross-sectional study,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-association-between-dietary-antioxidant-quality-score-and-car,Jul 2020
"Clark, C. C. T.",The association between major dietary patterns at dinner and obesity in adults living in Tehran: A population-based study,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-association-between-major-dietary-patterns-at-dinner-and-obes,2020
"Clark, C.",The association of body mass index and quantitative 24-h urine metabolites in patients with Nephrolithiasis: a systematic review and dose-response meta-analysis,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-association-of-body-mass-index-and-quantitative-24-h-urine-me,Dec 2020
"Clark, C.","The association of plant-based dietary patterns with visceral adiposity, lipid accumulation product, and triglyceride-glucose index in Iranian adults",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-association-of-plant-based-dietary-patterns-with-visceral-adi,Sep 2020
"Woodcock, A.,Osmond, J.,Holliday, N.",The development of a feature matrix for the design of assistive technology products for young older people,"https://pureportal.coventry.ac.uk/en/persons/andree-woodcock,https://pureportal.coventry.ac.uk/en/persons/jane-osmond,https://pureportal.coventry.ac.uk/en/persons/nikki-holliday",https://pureportal.coventry.ac.uk/en/publications/the-development-of-a-feature-matrix-for-the-design-of-assistive-t,2020
"Clark, C. C. T.",The effect of cinnamon supplementation on lipid profiles in patients with type 2 diabetes: A systematic review and meta-analysis of clinical trials,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-cinnamon-supplementation-on-lipid-profiles-in-patie,Dec 2020
"Clark, C.",The effect of Okra (Abelmoschus esculentus) on lipid profiles and glycemic indices in type 2 diabetic adults: randomized double blinded trials,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-okra-abelmoschus-esculentus-on-lipid-profiles-and-g,Dec 2020
"Clark, C.","The effect of pre-pregnancy body mass index on breastfeeding initiation, intention and duration: A systematic review and dose-response meta-analysis",https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-pre-pregnancy-body-mass-index-on-breastfeeding-init,1 Dec 2020
"Clark, C.",The effect of propolis on anthropometric indices and lipid profile: a systematic review and meta-analysis of randomized controlled trials,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-propolis-on-anthropometric-indices-and-lipid-profil,Dec 2020
"Eyre, E.,Clark, C.,Tallis, J.,Noon, M.,Duncan, M.",The Effects of Combined Movement and Storytelling Intervention on Motor Skills in South Asian and White Children Aged 5–6 Years Living in the United Kingdom,"https://pureportal.coventry.ac.uk/en/persons/emma-eyre,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/persons/jason-tallis,https://pureportal.coventry.ac.uk/en/persons/mark-noon,https://pureportal.coventry.ac.uk/en/persons/michael-duncan",https://pureportal.coventry.ac.uk/en/publications/the-effects-of-combined-movement-and-storytelling-intervention-on,13 May 2020
"Clark, C. C. T.",The effects of L-carnitine supplementation on lipid concentrations inpatients with type 2 diabetes: A systematic review and meta-analysis of randomized clinical trials,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-l-carnitine-supplementation-on-lipid-concentration,7 Sep 2020
"Clark, C.",The Effects of Rowing Ergometer Design on Metabolic Parameters during an Incremental Maximal Test,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-rowing-ergometer-design-on-metabolic-parameters-du,2020
"Szczepura, A.",The Future of Robots in a Super-Aged Society,https://pureportal.coventry.ac.uk/en/persons/ala-szczepura,https://pureportal.coventry.ac.uk/en/publications/the-future-of-robots-in-a-super-aged-society,26 Nov 2020
"Clark, C.",The Influence of Fasting and Energy Restricting Diets on Blood Pressure in Humans: A Systematic Review and Meta‑Analysis,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-influence-offasting-andenergy-restricting-diets-onblood-press,1 Aug 2020
"Clark, C. C. T.",The intensities of various forms of physical activity in physical education programs offered by universities for female students,https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/publications/the-intensities-of-various-forms-of-physical-activity-in-physical,2020
,Translating a walking intervention for health professional delivery within primary care: a mixed methods treatment fidelity assessment,,https://pureportal.coventry.ac.uk/en/publications/translating-a-walking-intervention-for-health-professional-delive,Feb 2020
"Clark, C.,Duncan, M.",Twenty-four-hour movement behaviours and fundamental movement skills in preschool children: A compositional and isotemporal substitution analysis,"https://pureportal.coventry.ac.uk/en/persons/cain-clark,https://pureportal.coventry.ac.uk/en/persons/michael-duncan",https://pureportal.coventry.ac.uk/en/publications/twenty-four-hour-movement-behaviours-and-fundamental-movement-ski,16 Sep 2020
"O'Doherty, L.","Two-year follow up of a cluster randomised controlled trial for women experiencing intimate partner violence: Effect of screening and family doctor-delivered counselling on quality of life, mental and physical health, and abuse exposure",https://pureportal.coventry.ac.uk/en/persons/lorna-odoherty,https://pureportal.coventry.ac.uk/en/publications/two-year-follow-up-of-a-cluster-randomised-controlled-trial-for-w,Dec 2020
"Holliday, N.,Barker, R.",Web based home hazard modification app for falls prevention: the views of those at risk of falling and their carers,"https://pureportal.coventry.ac.uk/en/persons/nikki-holliday,https://pureportal.coventry.ac.uk/en/persons/rachael-molitor",https://pureportal.coventry.ac.uk/en/publications/web-based-home-hazard-modification-app-for-falls-prevention-the-v,7 Dec 2020
"O'Doherty, L.",Women’s experiences and expectations after disclosure of intimate partner abuse to a healthcare provider:  A qualitative meta-synthesis,https://pureportal.coventry.ac.uk/en/persons/lorna-odoherty,https://pureportal.coventry.ac.uk/en/publications/womens-experiences-and-expectations-after-disclosure-of-intimate-,27 Nov 2020
,“Vital”: HIV counselling and testing staff’s views of addressing mental health with HIV in Uganda,,https://pureportal.coventry.ac.uk/en/publications/vital-hiv-counselling-and-testing-staffs-views-of-addressing-ment,10 Nov 2020
,Adherence to a healthy lifestyle and all-cause and cause-specific mortality in Chinese adults: A 10-year prospective study of 0.5 million people,,https://pureportal.coventry.ac.uk/en/publications/adherence-to-a-healthy-lifestyle-and-all-cause-and-cause-specific,4 Nov 2019
,A medication adherence app for children with sickle cell disease: qualitative study,,https://pureportal.coventry.ac.uk/en/publications/a-medication-adherence-app-for-children-with-sickle-cell-disease-,18 Jun 2019
,Association between tea consumption and risk of cancer: a prospective cohort study of 0.5 million Chinese adults,,https://pureportal.coventry.ac.uk/en/publications/association-between-tea-consumption-and-risk-of-cancer-a-prospect,15 Aug 2019
"Holliday, N.,Carroll, J.",Can the Benefits of Creative Methods Support the Inclusion of Children as part of Intergenerational Research Projects?,"https://pureportal.coventry.ac.uk/en/persons/nikki-holliday,https://pureportal.coventry.ac.uk/en/persons/julia-carroll",https://pureportal.coventry.ac.uk/en/publications/can-the-benefits-of-creative-methods-support-the-inclusion-of-chi,2 May 2019
"Magee, P.,Pearce, G.",Co-creating Welfare: Training course material preparing professionals to co-create welfare solutions with citizens,"https://pureportal.coventry.ac.uk/en/persons/paul-magee,https://pureportal.coventry.ac.uk/en/persons/gemma-pearce",https://pureportal.coventry.ac.uk/en/publications/co-creating-welfare-training-course-material-preparing-profession,Sep 2019
"Magee, P.",Co-Creating Welfare Final Website,https://pureportal.coventry.ac.uk/en/persons/paul-magee,https://pureportal.coventry.ac.uk/en/publications/co-creating-welfare-final-website,30 Sep 2019
"Zheng, D.","Deep learning-based automatic blood pressure measurement: evaluation of the effect of deep breathing, talking and arm movement",https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2,https://pureportal.coventry.ac.uk/en/publications/deep-learning-based-automatic-blood-pressure-measurement-evaluati,2019
,Does Structured Exercise Improve Cognitive Impairment in People with Mild to Moderate Dementia? A Cost-Effectiveness Analysis from a Confirmatory Randomised Controlled Trial: The Dementia and Physical Activity (DAPA) Trial,,https://pureportal.coventry.ac.uk/en/publications/does-structured-exercise-improve-cognitive-impairment-in-people-w,Jun 2019
"Woodcock, A.,Magee, P.",Expanding horizons: Engaging students with empathic thinking,"https://pureportal.coventry.ac.uk/en/persons/andree-woodcock,https://pureportal.coventry.ac.uk/en/persons/paul-magee",https://pureportal.coventry.ac.uk/en/publications/expanding-horizons-engaging-students-with-empathic-thinking,1 Jan 2019
"Zheng, D.,Allen, J.",Multi-Site Photoplethysmography Technology for Blood Pressure Assessment: Challenges and Recommendations,"https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2,https://pureportal.coventry.ac.uk/en/persons/john-allen",https://pureportal.coventry.ac.uk/en/publications/multi-site-photoplethysmography-technology-for-blood-pressure-ass,1 Nov 2019
"Khasteganan, N.,Carter, G.,O'Doherty, L.",Psychosocial interventions for survivors of rape and sexual assault experienced during adulthood (Protocol),"https://pureportal.coventry.ac.uk/en/persons/nazanin-khasteganan,https://pureportal.coventry.ac.uk/en/persons/grace-carter,https://pureportal.coventry.ac.uk/en/persons/lorna-odoherty",https://pureportal.coventry.ac.uk/en/publications/psychosocial-interventions-for-survivors-of-rape-and-sexual-assau,7 Nov 2019
,"Sleep problems in autism spectrum disorders: A comparison to sleep in typically developing children using actigraphy, diaries and questionnaires.",,https://pureportal.coventry.ac.uk/en/publications/sleep-problems-in-autism-spectrum-disorders-a-comparison-to-sleep,1 Nov 2019
